Ticker,Category,Mkt. Cap.,Active Exp.,Net Exp.,Dist. Freq.
ACP,F.L,152795.838,0.016754937,0.023619198,12
ACV,E.B,223095.9375,0.010565732,0.022416256,12
ADX,E.G,1430408.16,0.005337345,0.005337345,4
AEF,E.W.CL,67190.44,0.018304642,0.020418392,2
AFB,M.US,369597.461,0.006043865,0.010213778,12
AFT,F.L,229234.56,0.01531754,0.023747263,12
AGD,E.W,122237,0.011460768,0.011597859,12
AIF,F.L,209438.72,0.014997225,0.024129787,12
AKP,M.CA,123705.3,0.008284315,0.012527973,12
AOD,E.W,891945.97,0.011101862,0.011347552,12
APF,E.W.AP,231602.58,0.013020574,0.013020574,2
ARDC,F.G,343281.9,0.009127368,0.020556213,12
ASA,E.P,203316.6,0.013649754,0.013649754,2
ASG,E.G,143082.72,0.011258229,0.011258229,4
AVK,F.V,289034.48,0.010208839,0.018150588,12
AWF,F.G,991645,0.009493892,0.010113967,12
AWP,E.R,486825.6,0.013132069,0.013782708,12
BAF,M.US,116711.66,0.006506673,0.01401368,12
BANX,F.G,137839.94,0.030399252,0.039949195,4
BBF,M.US,131199.58,0.00671335,0.014157459,12
BBK,M.US,149396.0833,0.007482846,0.01498814,12
BBN,F.M,1261824.98,0.005909121,0.012321958,12
BCV,F.V,113872.5,0.010673953,0.010673953,4
BCX,E.E,784918.98,0.010025039,0.010025039,12
BDJ,E.G,1609110.36,0.008396702,0.008396702,12
BFK,M.US,585492.86,0.006204765,0.014651846,12
BFO,M.FL,79202.88,0.006550299,0.006550299,12
BFY,M.NY,65665.6,0.006947143,0.014814227,12
BFZ,M.CA,401977.8,0.006416414,0.014022513,12
BGB,F.L,647051.8344,0.013713108,0.021389207,12
BGH,F.C,353823.12,0.012613642,0.018693625,12
BGIO,F.G,196726.81,0.006423683,0.011905861,12
BGR,E.E,361479,0.010544859,0.010544859,12
BGT,F.L,289210.74,0.008149622,0.01367512,12
BGX,F.L,194086.56,0.01249444,0.020012913,12
BGY,E.W,594317.05,0.010160197,0.010160197,12
BHK,F.G,700351.3685,0.005593761,0.010164854,12
BHV,M.VA,25804.0548,0.010148714,0.015574759,12
BIF,E.G,1145810.12,0.012028452,0.012726805,4
BIT,F.G,623137.3422,0.008672221,0.015405444,12
BKK,M.US,302138.41,0.005983521,0.006213403,12
BKN,M.US,241291.44,0.005612322,0.01428422,12
BKT,F.A,374960.125,0.006298129,0.010364715,12
BLE,M.US,327067,0.00616055,0.013740583,12
BLW,F.G,538778.24,0.006220401,0.011578723,12
BME,E.H,374709.4,0.010998776,0.010998776,12
BNY,M.NY,165184.48,0.006978035,0.014501626,12
BOE,E.W,717718.48,0.010797326,0.010797326,12
BQH,M.NY,37828,0.007820412,0.015443907,12
BSD,M.US,93865.4136,0.00728679,0.015721105,12
BSE,M.NY,81369.6,0.006861286,0.014242367,12
