Ticker,Category,Mkt_Cap,Act_Exp,Net_Exp,Dist_Freq
ACP,Fixed Income,152795.83800000002,0.016754937,0.023619197999999998,12.0
ACV,Equity US,223095.9375,0.010565732,0.022416256000000002,12.0
ADX,Equity US,1430408.16,0.005337345,0.005337345,4.0
AEF,Equity Foreign,67190.44,0.018304642,0.020418392,2.0
AFB,Municipal Bonds,369597.461,0.006043865,0.010213778,12.0
AFT,Fixed Income,229234.56,0.01531754,0.023747262999999998,12.0
AGD,Equity Foreign,122237.0,0.011460768,0.011597858999999999,12.0
AIF,Fixed Income,209438.72,0.014997225,0.024129787000000003,12.0
AKP,Municipal Bonds,123705.3,0.008284315,0.012527973000000001,12.0
AOD,Equity Foreign,891945.97,0.011101861999999999,0.011347552,12.0
APF,Equity Foreign,231602.58,0.013020573999999998,0.013020573999999998,2.0
ARDC,Fixed Income,343281.9,0.009127368,0.020556213,12.0
ASA,Equity US,203316.6,0.013649753999999998,0.013649753999999998,2.0
ASG,Equity US,143082.72,0.011258229,0.011258229,4.0
AVK,Fixed Income,289034.48,0.010208839,0.018150588,12.0
AWF,Fixed Income,991645.0,0.009493892,0.010113967,12.0
AWP,Equity US,486825.6,0.013132069,0.013782708000000001,12.0
BAF,Municipal Bonds,116711.66,0.006506673,0.01401368,12.0
BANX,Fixed Income,137839.94,0.030399252,0.039949195,4.0
BBF,Municipal Bonds,131199.58,0.00671335,0.014157458999999999,12.0
BBK,Municipal Bonds,149396.0833,0.007482846,0.01498814,12.0
BBN,Fixed Income,1261824.98,0.005909121,0.012321958000000001,12.0
BCV,Fixed Income,113872.5,0.010673953,0.010673953,4.0
BCX,Equity US,784918.98,0.010025039,0.010025039,12.0
BDJ,Equity US,1609110.36,0.008396701999999999,0.008396701999999999,12.0
BFK,Municipal Bonds,585492.86,0.006204765,0.014651846000000001,12.0
BFO,Municipal Bonds,79202.88,0.006550299,0.006550299,12.0
BFY,Municipal Bonds,65665.6,0.006947143,0.014814227,12.0
BFZ,Municipal Bonds,401977.8,0.0064164140000000005,0.014022513,12.0
BGB,Fixed Income,647051.8344,0.013713108,0.021389207,12.0
BGH,Fixed Income,353823.12,0.012613642,0.018693625,12.0
BGIO,Fixed Income,196726.81,0.006423683,0.011905861,12.0
BGR,Equity US,361479.0,0.010544858999999998,0.010544858999999998,12.0
BGT,Fixed Income,289210.74,0.008149621999999999,0.01367512,12.0
BGX,Fixed Income,194086.56,0.01249444,0.020012913,12.0
BGY,Equity Foreign,594317.05,0.010160197,0.010160197,12.0
BHK,Fixed Income,700351.3685,0.005593761,0.010164854000000001,12.0
BHV,Municipal Bonds,25804.0548,0.010148714,0.015574758999999999,12.0
BIF,Equity US,1145810.12,0.012028452,0.012726805,4.0
BIT,Fixed Income,623137.3422,0.008672220999999999,0.015405443999999999,12.0
BKK,Municipal Bonds,302138.41,0.0059835209999999995,0.006213403,12.0
BKN,Municipal Bonds,241291.44,0.0056123219999999995,0.01428422,12.0
BKT,Fixed Income,374960.125,0.006298129,0.010364715,12.0
BLE,Municipal Bonds,327067.0,0.00616055,0.013740583,12.0
BLW,Fixed Income,538778.24,0.0062204009999999995,0.011578723,12.0
BME,Equity US,374709.4,0.010998776000000002,0.010998776000000002,12.0
BNY,Municipal Bonds,165184.48,0.006978035,0.014501626,12.0
BOE,Equity Foreign,717718.48,0.010797326000000001,0.010797326000000001,12.0
BQH,Municipal Bonds,37828.0,0.007820411999999999,0.015443907,12.0
BSD,Municipal Bonds,93865.4136,0.00728679,0.015721105,12.0
BSE,Municipal Bonds,81369.6,0.006861285999999999,0.014242366999999999,12.0
BSL,Fixed Income,253471.62,0.014002938000000001,0.021549047,12.0
BST,Equity US,715028.6133,0.00847944,0.00847944,12.0
BTA,Municipal Bonds,154084.56,0.006794115999999999,0.014792253,12.0
BTO,Equity US,659409.06,0.012057956000000002,0.014717431000000001,4.0
BTT,Municipal Bonds,1543982.6919999998,0.004361079,0.010588934,12.0
BTZ,Fixed Income,1298621.821,0.00655649,0.00971926,12.0
BUI,Equity US,350023.0833,0.010767506000000001,0.010767506000000001,12.0
BWG,Fixed Income,231414.75,0.013939405,0.018925758,12.0
BXMX,Equity US,1359677.15,0.008908074,0.008908074,4.0
BYM,Municipal Bonds,349879.5,0.00611811,0.013282486999999999,12.0
BZM,Municipal Bonds,28429.9977,0.011138638999999999,0.016011794,12.0
CAF,Equity Foreign,466275.3576,0.017087922,0.017087922,2.0
CBH,Fixed Income,163947.86,0.008724375,0.016004155,12.0
CCA,Municipal Bonds,31036.04,0.008138560999999999,0.016926838,12.0
CCD,Fixed Income,475288.035,0.010229054,0.015339582,12.0
CEE,Equity Foreign,174941.8,0.012966476999999999,0.012966476999999999,1.0
CEF,Precious Metals,2644059.693,0.0031,0.0031,
CEM,Equity US,859847.76,0.012020794,0.021518125,4.0
CEN,Equity US,203875.97,0.014050761,0.024864393999999998,12.0
CET,Equity US,703526.6056,0.006665356,0.006912850999999999,2.0
CEV,Municipal Bonds,85173.7,0.009433719,0.017939531,12.0
CGO,Equity US,100912.0,0.01091738,0.01661019,12.0
CHI,Fixed Income,725061.06,0.008464316,0.013591607,12.0
CHN,Equity Foreign,299523.15,0.013947174,0.013974005,1.0
CHW,Equity US,456714.18,0.010376229,0.016057215,12.0
CHY,Fixed Income,801428.77,0.008476266,0.013551978000000001,12.0
CIF,Fixed Income,48366.06,0.009856478,0.015597352,12.0
CII,Equity US,688459.6719,0.008816704,0.008816704,12.0
CIK,Fixed Income,157961.1,0.011237641000000001,0.011237641000000001,12.0
CLM,Equity US,540174.48,0.010241766,0.010241766,12.0
CMU,Municipal Bonds,127744.7026,0.008341913000000001,0.015668622,12.0
CRF,Equity US,267212.8152,0.010166618,0.010166618,12.0
CSQ,Equity US,1898977.06,0.010301928,0.015470708,12.0
CTR,Equity US,368256.0,0.013072873999999998,0.022692651,4.0
CUBA,Equity US,35393.18,0.025031877999999997,0.025031877999999997,1.0
CXE,Municipal Bonds,158505.36,0.008406211,0.015966466999999998,12.0
CXH,Municipal Bonds,92580.6,0.012151364,0.019365839,12.0
DBL,Fixed Income,291384.4,0.012051069,0.01637314,12.0
DCF,Fixed Income,129263.04,0.010491371999999999,0.017255357,12.0
